pride_national,pride_religious,strongleader,limitedelections,erdoganmission,erdoganinspiring,akpstate,akpmuslims,trust_religiousauthority,trust_presidentialsystem,success_erdogan,success_economyminister,policy_povertyreduction,policy_economy,policy_internalsecurity,ci_lifequality,ri_system_1,regimevoter
100,100,80,80,100,60,100,100,80,80,80,60,40,60,80,40,1,1
76,68,20,20,20,20,20,40,40,20,28,20,20,20,40,20,1,0
20,72,20,20,20,20,20,20,20,20,40,40,20,20,40,20,1,0
60,80,80,80,100,100,40,100,80,80,60,60,80,60,60,80,5,1
100,100,20,20,40,20,20,40,20,20,20,20,20,20,40,40,1,0
80,80,80,80,60,80,60,60,100,80,92,100,60,100,100,100,3,1
20,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,60,80,60,80,100,60,60,60,80,60,60,40,60,40,3,1
100,100,100,100,100,100,100,100,100,100,100,80,92,80,88,100,5,0
100,100,100,100,100,100,100,80,100,100,100,100,100,80,100,100,5,1
100,100,20,20,60,40,40,20,20,20,28,20,20,20,60,40,1,0
100,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,96,20,60,80,80,60,80,76,72,80,64,60,60,100,60,5,1
100,100,100,80,100,100,100,80,100,100,100,80,80,80,80,80,4,1
40,20,20,20,20,80,20,20,20,20,40,28,20,20,20,20,1,0
100,100,20,20,20,20,20,20,20,20,60,20,20,20,20,20,1,0
60,60,20,20,20,20,20,20,20,20,20,20,20,40,20,20,1,0
100,100,100,80,100,100,100,80,80,80,100,76,100,60,100,60,5,0
100,100,80,80,60,60,100,40,60,60,80,60,60,60,80,40,2,1
100,100,88,100,100,100,84,100,100,100,100,72,80,92,100,20,5,1
100,100,20,60,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,80,100,100,100,40,100,40,100,100,60,60,60,80,100,3,1
20,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,80,80,80,80,100,80,80,100,80,80,60,80,80,80,80,4,1
20,24,20,20,20,20,20,20,20,20,28,20,20,20,20,20,1.4,0
100,80,100,100,80,72,80,80,68,80,96,100,80,80,80,100,4,1
100,100,100,96,100,100,100,88,88,96,100,60,100,60,100,80,5,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,80,76,100,60,80,40,72,60,80,60,60,60,100,40,3,1
20,100,100,76,100,100,100,100,100,100,100,80,100,100,100,100,5,1
100,100,100,100,100,100,100,100,100,100,84,80,80,80,88,60,5,1
100,100,60,100,100,100,80,60,60,100,80,60,60,60,80,60,5,1
100,96,84,100,100,100,96,100,80,100,80,80,60,80,80,60,4.6,0
20,44,20,36,20,20,36,20,20,24,20,28,20,20,40,20,1,0
20,40,20,20,60,20,40,20,20,20,20,20,20,20,40,20,1,0
72,80,52,60,80,60,80,80,40,60,60,60,60,40,60,60,3,0
100,100,20,36,20,32,20,20,36,32,24,20,20,20,20,20,1.4,0
100,100,20,80,80,80,40,100,40,20,80,60,20,60,80,60,3,0
20,72,20,20,20,20,20,20,20,20,20,40,20,20,20,20,5,0
60,60,24,36,20,20,20,20,60,20,20,20,20,20,60,20,1,0
20,40,20,20,40,28,20,20,20,20,60,20,20,20,20,20,1,0
100,100,100,100,100,100,80,80,100,100,100,100,100,100,100,80,1,1
40,20,20,20,20,20,20,20,20,20,20,20,20,20,60,20,1,0
100,96,20,20,40,60,40,20,60,20,80,60,40,40,80,60,3,0
100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
60,100,100,52,40,40,40,40,40,40,60,60,20,40,60,40,3,0
100,60,60,60,80,80,100,80,68,60,80,60,60,60,60,60,4,1
100,20,20,20,20,28,20,20,20,20,20,20,20,20,20,20,1,0
40,60,20,60,100,100,40,80,80,100,76,60,80,80,72,40,4,1
80,100,40,80,100,100,80,100,100,100,100,20,100,80,100,80,5,1
100,100,100,100,100,100,100,100,100,100,100,100,100,92,100,100,5,1
40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,64,80,80,80,80,80,80,100,100,80,72,80,80,40,4,1
100,100,100,80,100,100,100,100,60,100,100,60,60,80,92,60,4.4,1
100,56,20,36,20,20,20,20,28,20,20,20,20,20,20,20,1,0
60,60,20,20,40,60,20,20,20,20,40,36,20,20,60,40,2,0
100,88,100,100,100,100,100,100,88,100,100,72,100,60,100,60,5,1
100,100,60,80,60,60,60,60,100,80,80,60,80,60,80,60,4,1
100,20,20,60,20,40,100,20,20,20,20,20,20,20,80,20,1,0
20,44,20,40,32,20,24,20,20,20,24,20,20,20,20,20,1,0
100,100,56,100,100,60,20,40,40,60,60,60,60,40,100,40,1,0
20,52,20,20,60,20,20,20,60,20,20,20,20,60,80,20,1,0
100,100,80,80,100,100,100,100,88,100,100,80,80,80,92,80,5,1
100,100,20,60,20,20,20,20,60,20,40,40,20,20,60,20,2,0
20,60,20,20,20,20,20,40,20,20,28,20,20,20,36,20,1,0
40,60,80,68,100,100,100,80,100,100,100,80,20,20,80,20,1,1
80,100,20,80,40,40,20,20,60,40,40,20,20,40,60,20,2,0
100,100,20,20,100,100,80,20,80,100,80,72,80,60,100,60,5,1
60,64,80,60,56,36,52,36,52,28,28,40,40,40,60,20,2.4,1
20,20,40,20,40,20,20,20,20,20,24,20,40,20,40,20,2,0
100,60,20,40,20,20,20,20,20,20,20,20,20,20,20,20,1,0
72,20,20,20,36,20,20,20,20,20,20,20,20,20,20,20,1,0
100,80,40,40,40,100,20,40,60,60,40,60,20,20,80,20,3,1
20,20,20,20,36,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,60,100,80,88,20,60,100,80,80,60,40,80,100,60,5,1
60,100,100,40,100,100,76,80,80,80,100,80,80,80,100,60,5,1
40,36,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,20,60,40,20,20,20,40,20,40,60,60,20,80,40,2,1
100,100,20,20,20,20,20,36,40,20,20,20,20,20,100,20,1,0
100,20,20,20,56,40,20,20,20,20,20,20,20,20,40,40,1,0
100,100,20,40,40,28,20,20,20,24,20,40,20,20,40,40,1,0
100,100,20,52,100,76,100,100,20,20,100,40,100,40,100,40,5,1
100,100,60,60,100,100,80,100,100,100,100,100,100,60,100,60,3,1
40,60,40,44,20,20,36,44,32,28,44,40,32,20,36,20,1.4,0
60,64,40,40,40,40,40,60,20,40,40,60,20,20,60,20,1,0
100,20,20,20,20,20,20,20,20,20,20,40,20,20,60,20,1,0
80,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
100,100,100,40,100,100,100,80,60,100,80,60,80,80,100,60,5,1
60,80,80,60,100,100,100,80,40,100,100,60,60,60,80,60,5,1
80,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,5,1
100,100,100,100,100,100,20,100,100,80,100,80,60,60,80,80,5,1
100,100,100,100,100,100,100,100,100,100,100,100,100,92,96,100,5,1
100,100,100,100,100,100,100,100,100,100,80,96,100,100,100,100,5,1
100,100,100,100,100,100,80,80,100,100,100,60,80,80,100,60,5,1
100,20,20,48,40,40,80,20,40,20,60,28,20,40,60,40,2,0
40,100,100,76,100,100,100,100,60,80,80,60,60,60,100,60,5,1
20,20,20,20,20,20,20,20,20,20,20,40,20,20,40,20,1,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,1
100,100,80,60,100,100,100,60,60,100,100,80,80,80,80,80,5,1
100,100,20,20,100,100,80,100,80,80,100,80,80,80,80,80,5,1
40,40,20,40,60,40,20,80,40,40,40,52,20,40,80,60,2,1
80,100,100,100,80,80,80,60,100,100,100,80,60,80,100,40,3,1
40,40,100,100,100,100,100,100,100,100,80,80,100,100,100,100,3,1
